ASN: 87    , min_dist: 1, vp: indiana.csv                   
ASN: 36375 , min_dist: 1, vp: planetlab5.eecs.umich.edu.csv 
ASN: 12093 , min_dist: 1, vp: plonk.cs.uwaterloo.ca.csv     
ASN: 11078 , min_dist: 1, vp: pluto.cs.brown.edu.csv        
ASN: 3582  , min_dist: 2, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 17956 , min_dist: 2, vp: planetlab6.goto.info.waseda.ac.jp.csv
ASN: 8     , min_dist: 2, vp: ricepl-2.cs.rice.edu.csv      
ASN: 11537 , min_dist: 3, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3701  , min_dist: 3, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 10488 , min_dist: 3, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 10511 , min_dist: 3, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 19782 , min_dist: 4, vp: indiana.csv                   
ASN: 11114 , min_dist: 4, vp: indiana.csv                   
ASN: None  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 15133 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 5650  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36086 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 4589  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 14153 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 14041 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 11164 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3561  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 6659  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 35838 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 293   , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 12145 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 1706  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 17934 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 18980 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 54527 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7575  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 6456  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 19171 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 58511 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13739 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 18988 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 53869 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32751 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 11924 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36222 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 26088 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 30261 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 393717, min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 46159 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 4201  , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 62838 , min_dist: 4, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 237   , min_dist: 4, vp: planetlab5.eecs.umich.edu.csv 
ASN: 160   , min_dist: 4, vp: planetlab5.eecs.umich.edu.csv 
ASN: 7922  , min_dist: 4, vp: planetlab5.eecs.umich.edu.csv 
ASN: 14048 , min_dist: 4, vp: planetlab5.eecs.umich.edu.csv 
ASN: 62676 , min_dist: 4, vp: planetlab5.eecs.umich.edu.csv 
ASN: 2907  , min_dist: 4, vp: planetlab6.goto.info.waseda.ac.jp.csv
ASN: 3356  , min_dist: 4, vp: ricepl-2.cs.rice.edu.csv      
ASN: 4557  , min_dist: 4, vp: ricepl-2.cs.rice.edu.csv      
ASN: 3112  , min_dist: 5, vp: indiana.csv                   
ASN: 2381  , min_dist: 5, vp: indiana.csv                   
ASN: 103   , min_dist: 5, vp: indiana.csv                   
ASN: 1299  , min_dist: 5, vp: indiana.csv                   
ASN: 22335 , min_dist: 5, vp: indiana.csv                   
ASN: 11417 , min_dist: 5, vp: indiana.csv                   
ASN: 46101 , min_dist: 5, vp: indiana.csv                   
ASN: 35994 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 20940 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 8190  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 26769 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7011  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 23393 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 16625 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 6461  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 42    , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 33438 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13414 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 12989 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 852   , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 714   , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3491  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 2906  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
